%Teta1 Ideal	Teta1 Real	Teta2 Ideal	Teta2 Real	X Ideal		X real		Y Ideal		Y Real
 32.68		 33.00		 51.59		 52.00		17.88		17.84		 2.16		 2.19
 31.34		 31.00		 49.93		 49.00		18.02		18.08		 2.01		 2.06
 29.98		 30.00		 48.20		 48.00		18.16		18.17		 1.87		 1.91
 28.59		 29.00		 46.39		 47.00		18.30		18.26		 1.73		 1.76
 27.15		 27.00		 44.50		 44.00		18.44		18.47		 1.58		 1.62
 25.67		 26.00		 42.49		 43.00		18.58		18.55		 1.44		 1.46
 24.14		 24.00		 40.38		 40.00		18.73		18.75		 1.29		 1.31
 22.56		 23.00		 38.13		 39.00		18.87		18.82		 1.15		 1.15
 20.89		 21.00		 35.72		 36.00		19.01		19.00		 1.01		 1.00
 19.14		 19.00		 33.12		 33.00		19.15		19.16		 0.86		 0.84
 17.27		 17.00		 30.28		 30.00		19.29		19.31		 0.72		 0.67
 15.26		 15.00		 27.12		 27.00		19.43		19.44		 0.58		 0.51
 13.02		 13.00		 23.52		 23.00		19.58		19.59		 0.43		 0.51
 10.45		 11.00		 19.23		 20.00		19.72		19.69		 0.29		 0.34
  7.22		  7.00		 13.61		 13.00		19.86		19.87		 0.14		 0.17
  0.00		  0.00		  0.00		  0.00		20.00		20.00		 0.00		 0.00
