62.00	99.00	12.70	 2.70	
62.00	99.00	12.65	 2.72	
62.00	100.00	12.61	 2.73	
62.00	100.00	12.56	 2.75	
63.00	100.00	12.51	 2.77	
63.00	101.00	12.47	 2.79	
63.00	101.00	12.42	 2.80	
63.00	101.00	12.37	 2.82	
64.00	102.00	12.32	 2.84	
64.00	102.00	12.28	 2.86	
64.00	102.00	12.23	 2.87	
65.00	102.00	12.18	 2.89	
65.00	103.00	12.14	 2.91	
65.00	103.00	12.09	 2.93	
65.00	103.00	12.04	 2.94	
66.00	104.00	11.99	 2.96	
66.00	104.00	11.95	 2.98	
66.00	104.00	11.90	 2.99	
67.00	105.00	11.85	 3.00	
67.00	105.00	11.80	 3.02	
67.00	105.00	11.75	 3.03	
67.00	106.00	11.70	 3.04	
68.00	106.00	11.65	 3.05	
68.00	106.00	11.61	 3.06	
68.00	107.00	11.56	 3.08	
68.00	107.00	11.51	 3.09	
69.00	107.00	11.46	 3.10	
69.00	107.00	11.41	 3.11	
69.00	108.00	11.36	 3.12	
70.00	108.00	11.31	 3.14	
70.00	108.00	11.26	 3.15	
70.00	109.00	11.22	 3.16	
70.00	109.00	11.17	 3.17	
71.00	109.00	11.12	 3.18	
71.00	110.00	11.07	 3.20	
71.00	110.00	11.02	 3.21	
71.00	110.00	10.97	 3.22	
72.00	111.00	10.92	 3.23	
72.00	111.00	10.87	 3.25	
72.00	111.00	10.83	 3.26	
73.00	111.00	10.78	 3.27	
73.00	112.00	10.73	 3.28	
73.00	112.00	10.68	 3.29	
73.00	112.00	10.63	 3.31	
74.00	113.00	10.58	 3.32	
74.00	113.00	10.53	 3.33	
74.00	113.00	10.48	 3.34	
75.00	114.00	10.44	 3.35	
75.00	114.00	10.39	 3.37	
75.00	114.00	10.34	 3.38	
75.00	114.00	10.29	 3.39	
76.00	115.00	10.24	 3.40	
76.00	115.00	10.19	 3.42	
76.00	115.00	10.14	 3.43	
77.00	116.00	10.09	 3.44	
77.00	116.00	10.05	 3.45	
77.00	116.00	10.00	 3.46	
77.00	116.00	 9.95	 3.48	
78.00	117.00	 9.90	 3.49	
78.00	117.00	 9.85	 3.50	
78.00	117.00	 9.80	 3.51	
79.00	118.00	 9.75	 3.52	
79.00	118.00	 9.70	 3.54	
79.00	118.00	 9.66	 3.55	
80.00	118.00	 9.61	 3.56	
80.00	119.00	 9.56	 3.57	
80.00	119.00	 9.51	 3.58	
80.00	119.00	 9.46	 3.60	
81.00	119.00	 9.41	 3.61	
81.00	120.00	 9.36	 3.62	
81.00	120.00	 9.31	 3.63	
82.00	120.00	 9.27	 3.65	
82.00	121.00	 9.22	 3.66	
82.00	121.00	 9.17	 3.67	
83.00	121.00	 9.12	 3.68	
83.00	121.00	 9.07	 3.69	
83.00	122.00	 9.02	 3.71	
83.00	122.00	 8.97	 3.72	
84.00	122.00	 8.92	 3.73	
84.00	122.00	 8.88	 3.74	
84.00	123.00	 8.83	 3.75	
85.00	123.00	 8.78	 3.77	
85.00	123.00	 8.73	 3.78	
85.00	123.00	 8.68	 3.79	
86.00	124.00	 8.63	 3.80	
86.00	124.00	 8.58	 3.82	
86.00	124.00	 8.53	 3.83	
87.00	124.00	 8.49	 3.84	
87.00	125.00	 8.44	 3.85	
87.00	125.00	 8.39	 3.86	
88.00	125.00	 8.34	 3.88	
88.00	126.00	 8.29	 3.89	
88.00	126.00	 8.24	 3.90	
89.00	126.00	 8.19	 3.91	
89.00	126.00	 8.14	 3.92	
89.00	127.00	 8.10	 3.94	
90.00	127.00	 8.05	 3.95	
90.00	127.00	 8.00	 3.96	
90.00	127.00	 7.95	 3.97	
91.00	127.00	 7.90	 3.98	
91.00	128.00	 7.85	 4.00	
91.00	128.00	 7.80	 4.01	
92.00	128.00	 7.75	 4.02	
92.00	128.00	 7.71	 4.03	
92.00	129.00	 7.66	 4.05	
93.00	129.00	 7.61	 4.06	
93.00	129.00	 7.56	 4.07	
93.00	129.00	 7.51	 4.08	
94.00	130.00	 7.46	 4.09	
94.00	130.00	 7.41	 4.11	
94.00	130.00	 7.36	 4.12	
95.00	130.00	 7.32	 4.13	
95.00	131.00	 7.27	 4.14	
95.00	131.00	 7.22	 4.15	
96.00	131.00	 7.17	 4.17	
96.00	131.00	 7.12	 4.18	
96.00	131.00	 7.07	 4.19	
97.00	132.00	 7.02	 4.20	
97.00	132.00	 6.97	 4.22	
97.00	132.00	 6.93	 4.23	
98.00	132.00	 6.88	 4.24	
98.00	133.00	 6.83	 4.25	
99.00	133.00	 6.78	 4.26	
99.00	133.00	 6.73	 4.28	
99.00	133.00	 6.68	 4.29	
100.00	133.00	 6.63	 4.30	
100.00	134.00	 6.58	 4.31	
100.00	134.00	 6.53	 4.32	
101.00	134.00	 6.49	 4.34	
101.00	134.00	 6.44	 4.35	
102.00	134.00	 6.39	 4.36	
102.00	135.00	 6.34	 4.37	
102.00	135.00	 6.29	 4.38	
103.00	135.00	 6.24	 4.40	
103.00	135.00	 6.19	 4.41	
103.00	136.00	 6.14	 4.42	
104.00	136.00	 6.10	 4.43	
104.00	136.00	 6.05	 4.45	
105.00	136.00	 6.00	 4.46	
105.00	136.00	 5.95	 4.47	
105.00	137.00	 5.90	 4.48	
106.00	137.00	 5.85	 4.49	
106.00	137.00	 5.80	 4.51	
107.00	137.00	 5.75	 4.52	
107.00	137.00	 5.71	 4.53	
107.00	137.00	 5.66	 4.54	
108.00	138.00	 5.61	 4.55	
108.00	138.00	 5.56	 4.57	
109.00	138.00	 5.51	 4.58	
109.00	138.00	 5.46	 4.59	
110.00	138.00	 5.41	 4.60	
110.00	139.00	 5.36	 4.62	
110.00	139.00	 5.32	 4.63	
111.00	139.00	 5.27	 4.64	
111.00	139.00	 5.22	 4.65	
112.00	139.00	 5.17	 4.66	
112.00	139.00	 5.12	 4.68	
113.00	140.00	 5.07	 4.69	
113.00	140.00	 5.02	 4.70	
113.00	140.00	 4.97	 4.71	
114.00	140.00	 4.93	 4.72	
114.00	140.00	 4.88	 4.74	
115.00	140.00	 4.83	 4.75	
115.00	141.00	 4.78	 4.76	
116.00	141.00	 4
